naif1+ratb+38.078+aa	42.50	536.67	22.00	1208.33	79.00	2300.00	-25.80	524.50	40.30	1342.75	53.50	2417.75	33.50	424.00	38.50	1357.33	-59.50	2524.33
naif1+ratb+212.608+aa	5.50	583.67	12.50	1171.00	41.00	2533.67	-35.50	536.75	34.10	1278.75	1.20	2562.50	-4.50	441.67	26.00	1360.33	-28.50	2627.33
naif1+ratb+363.417+aa	19.50	580.67	65.00	1113.00	72.00	2289.67	-31.00	549.50	67.80	1261.00	32.00	2374.00	46.00	453.67	14.50	1384.33	-96.00	2479.00
naif2+ratb+30.428+aa	39.50	549.33	53.00	1117.00	-13.00	2736.00	-21.00	554.00	65.10	1259.25	5.20	2647.50	-16.00	487.67	39.50	1395.00	-8.00	2705.33
naif2+ratb+180.529+aa	38.50	537.33	95.50	1033.00	-51.00	2704.00	-28.50	536.25	38.00	1227.00	17.10	2549.25	-3.00	466.67	21.50	1362.67	-23.50	2665.00
naif2+ratb+304.911+aa	14.50	568.00	53.00	1090.67	54.00	2597.33	-19.40	570.00	59.30	1248.75	-19.90	2667.25	-27.00	528.00	11.00	1430.67	-79.50	2630.67
saud+ratb+28.751+aa	14.50	627.67	31.50	1088.67	36.50	2317.00	-27.30	627.25	79.10	1288.75	38.50	2464.25	-20.00	578.33	54.00	1470.67	37.50	2586.33
saud+ratb+230.397+aa	21.50	624.67	-16.00	1125.67	-5.00	2621.67	-7.80	650.00	38.50	1158.75	-4.50	2647.25	11.50	606.33	-68.00	1321.00	-20.50	2669.67
saud+ratb+388.596+aa	18.00	661.33	5.00	1156.00	76.00	2621.00	-28.40	629.50	112.70	1371.25	6.80	2693.00	-10.50	568.33	29.00	1607.00	-6.50	2790.00
abu+mlabs+332.793+aa	32.50	508.33	-11.00	1410.33	-3.50	2382.67	-36.30	503.75	-39.10	1340.75	-24.20	2358.50	40.50	392.00	31.00	1249.67	18.00	2278.33
abu+mlabs+376.524+aa	16.50	511.67	-29.50	1413.33	-5.00	2435.67	-36.40	480.00	-54.90	1285.75	-67.70	2333.25	20.00	381.33	9.50	1236.00	-0.50	2205.33
abu+mlabs+606.023+aa	24.50	507.67	-12.00	1387.33	14.00	2437.00	-28.30	496.25	-20.80	1326.00	3.10	2520.75	24.00	427.33	-20.50	1308.00	22.00	2557.33
alohali+mlabs+281.530+aa	20.50	642.67	-46.50	1563.00	-52.00	2534.67	-47.90	608.75	-18.60	1480.50	-7.50	2474.75	23.50	471.33	19.50	1406.67	-6.50	2425.33
alohali+mlabs+368.898+aa	21.50	649.33	-58.50	1563.33	-107.50	2428.00	-54.40	601.00	-18.30	1475.25	-13.40	2365.50	38.50	468.33	-16.50	1447.67	19.00	2306.00
alohali+mlabs+704.735+aa	31.00	635.00	-25.00	1585.00	-15.00	2452.33	-51.60	610.50	-29.80	1486.50	3.40	2470.00	31.50	464.00	-12.00	1428.67	8.50	2432.00
alotaiq+mlabs+189.027+aa	36.00	651.67	10.00	1399.00	-46.00	2668.00	-26.60	662.50	12.00	1396.00	35.60	2641.50	-95.00	594.33	-85.00	1491.67	-101.00	2758.33
alotaiq+mlabs+228.587+aa	51.00	652.00	-10.50	1407.33	-20.00	2544.00	-29.30	655.25	-12.90	1357.75	24.70	2582.25	-24.50	581.33	-23.00	1358.00	-24.50	2629.67
alotaiq+mlabs+360.634+aa	1.50	545.00	24.00	1364.67	136.00	2535.67	4.00	590.00	-5.20	1381.00	19.30	2681.25	45.00	568.33	29.00	1369.00	-25.50	2719.67
mohammed+mlabs+264.851+aa	71.00	671.00	-60.50	1699.67	-87.00	2559.33	-38.90	692.75	-37.10	1523.75	19.80	2598.50	-10.50	588.00	-5.50	1485.67	36.00	2652.33
mohammed+mlabs+360.209+aa	88.50	613.67	-34.00	1679.00	-34.50	2637.00	-30.50	682.75	-47.80	1463.00	20.80	2574.00	0.50	598.33	-2.50	1403.67	-64.00	2694.33
naif1+mlabs+152.328+aa	21.00	554.67	-35.00	1437.33	-46.00	2337.33	-38.60	519.50	-19.80	1371.50	-14.70	2301.25	63.50	427.67	-16.00	1341.00	6.50	2255.00
naif1+mlabs+207.661+aa	4.50	521.33	-67.50	1436.00	28.00	2132.33	-20.70	514.25	-10.20	1376.00	16.90	2289.25	42.00	442.33	-3.00	1373.00	-12.00	2324.00
naif1+mlabs+409.119+aa	22.50	528.67	-22.50	1385.33	-11.50	2414.00	-40.10	498.75	-6.70	1335.25	-19.40	2365.50	33.50	418.00	-24.50	1352.33	-18.00	2326.00
naif2+mlabs+130.092+aa	20.00	578.00	-13.50	1428.00	-43.50	2325.33	-31.90	547.25	-18.90	1372.25	1.10	2246.75	55.00	474.00	35.50	1341.00	38.00	2269.00
naif2+mlabs+176.571+aa	32.50	521.00	-39.00	1430.33	30.50	2406.67	-29.60	509.00	3.70	1398.25	-9.20	2390.00	29.50	434.67	-6.00	1422.00	-22.00	2387.00
naif2+mlabs+345.242+aa	45.00	579.33	-25.00	1434.00	-6.50	2467.67	-46.90	570.75	-20.90	1372.75	-13.60	2434.50	31.00	461.33	29.50	1335.33	3.50	2403.67
saud+mlabs+153.329+aa	33.00	614.00	-101.50	1642.67	-40.50	2685.67	-30.90	643.25	-38.60	1410.00	-26.80	2624.50	55.00	531.00	-7.50	1360.67	-2.00	2577.33
saud+mlabs+225.104+aa	28.00	647.33	-66.50	1522.00	-8.50	2673.67	-46.30	597.25	-46.30	1344.25	-86.40	2513.00	29.50	484.67	-4.50	1300.33	-2.00	2405.33
saud+mlabs+433.066+aa	48.50	599.33	-154.00	1563.00	-45.50	2496.00	-13.60	635.50	-51.60	1281.50	-8.50	2483.25	34.00	581.00	16.00	1217.33	19.50	2481.00
